,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
32512,2022-11-11,N,Tulane,Amer,McNeese St.,Home,True,75,58,17,2022-23,Slnd
7108,2014-12-13,N,Nevada,MWC,Cal St. Fullerton,Home,False,65,55,10,2014-15,BW
6796,2014-12-07,N,Washington,P12,San Diego St.,Home,True,49,36,13,2014-15,MWC
6793,2014-12-07,N,Virginia Tech,ACC,Radford,Home,False,68,66,2,2014-15,BSth
6785,2014-12-07,N,Kentucky,SEC,Eastern Kentucky,Home,True,82,49,33,2014-15,OVC
33910,2022-11-26,N,Wichita St.,Amer,Tarleton St.,Home,True,83,71,12,2022-23,WAC
33909,2022-11-26,N,Utah,P12,St. Thomas,Home,True,95,66,29,2022-23,Sum
33900,2022-11-25,N,Monmouth,CAA,Cornell,Home,False,81,63,18,2022-23,Ivy
32547,2022-11-12,N,Georgetown,BE,Green Bay,Home,True,92,58,34,2022-23,Horz
6827,2014-12-08,N,Air Force,MWC,Nebraska Omaha,Home,True,77,61,16,2014-15,Sum
32548,2022-11-12,N,Loyola Marymount,WCC,UC Davis,Home,True,85,75,10,2022-23,BW
6828,2014-12-08,N,Miami FL,ACC,Savannah St.,Home,True,70,39,31,2014-15,MEAC
32554,2022-11-12,N,Indiana St.,MVC,Ball St.,Home,True,83,71,12,2022-23,MAC
32555,2022-11-12,N,Seton Hall,BE,Saint Peter's,Home,True,80,44,36,2022-23,MAAC
32557,2022-11-12,N,UNLV,MWC,Incarnate Word,Home,True,88,63,25,2022-23,Slnd
6830,2014-12-08,N,Minnesota,B10,North Dakota,Home,True,92,56,36,2014-15,BSky
32869,2022-11-16,N,Texas,B12,Gonzaga,Home,True,93,74,19,2022-23,WCC
32560,2022-11-12,N,Utah Valley,WAC,Northern Arizona,Home,True,73,69,4,2022-23,BSky
32561,2022-11-12,N,Saint Louis,A10,Evansville,Home,True,83,65,18,2022-23,MVC
32562,2022-11-12,N,La Salle,A10,Wagner,Home,True,77,69,8,2022-23,NEC
6831,2014-12-08,N,Harvard,Ivy,Boston University,Home,True,70,56,14,2014-15,Pat
6832,2014-12-08,N,UTEP,CUSA,Incarnate Word,Home,True,81,65,16,2014-15,Slnd
32565,2022-11-12,N,Northwestern St.,Slnd,Illinois St.,Home,False,69,67,2,2022-23,MVC
7346,2014-12-17,N,UNLV,MWC,Portland,Home,True,75,73,2,2014-15,WCC
32546,2022-11-12,N,High Point,BSth,Wofford,Home,True,91,80,11,2022-23,SC
6824,2014-12-08,N,Lafayette,Pat,Sacred Heart,Home,True,82,81,1,2014-15,NEC
6823,2014-12-08,N,SMU,Amer,UC Santa Barbara,Home,True,80,73,7,2014-15,BW
6822,2014-12-08,N,Butler,BE,Kennesaw St.,Home,True,93,51,42,2014-15,ASun
33908,2022-11-26,N,Boise St.,MWC,Utah Valley,Home,True,87,69,18,2022-23,WAC
32870,2022-11-16,N,Chicago St.,ind,Valparaiso,Home,True,87,74,13,2022-23,MVC
32535,2022-11-11,N,Oregon,P12,UC Irvine,Home,False,69,56,13,2022-23,BW
8234,2014-12-30,N,USC,P12,Vermont,Home,True,64,56,8,2014-15,AE
8546,2015-03-19,P,Northwestern St.,Slnd,Tennessee Martin,Home,False,104,79,25,2014-15,OVC
6813,2014-12-07,N,Colorado St.,MWC,Northern Colorado,Home,True,66,58,8,2014-15,BSky
32539,2022-11-11,N,Vanderbilt,SEC,Southern Miss,Home,False,60,48,12,2022-23,SB
6814,2014-12-07,N,Appalachian St.,SB,Hofstra,Home,False,68,51,17,2014-15,CAA
32529,2022-11-11,N,California,P12,Kansas St.,Home,False,63,54,9,2022-23,B12
8235,2014-12-30,N,Clemson,ACC,Robert Morris,Home,True,64,57,7,2014-15,NEC
32542,2022-11-12,N,Ohio,MAC,Cleveland St.,Home,True,81,70,11,2022-23,Horz
6817,2014-12-07,N,Delaware,CAA,Delaware St.,Home,False,66,53,13,2014-15,MEAC
32543,2022-11-12,N,St. John's,BE,Lafayette,Home,True,83,68,15,2022-23,Pat
6818,2014-12-07,N,Northern Kentucky,ASun,West Virginia,Home,False,67,42,25,2014-15,B12
32544,2022-11-12,N,Providence,BE,Northeastern,Home,True,89,65,24,2022-23,CAA
32545,2022-11-12,N,Canisius,MAAC,St. Bonaventure,Home,True,84,80,4,2022-23,A10
6820,2014-12-08,N,Florida,SEC,Yale,Home,True,85,47,38,2014-15,Ivy
33902,2022-11-25,N,UTSA,CUSA,Grambling St.,Home,False,75,55,20,2022-23,SWAC
6815,2014-12-07,N,Robert Morris,NEC,Buffalo,Home,False,74,59,15,2014-15,MAC
32567,2022-11-12,N,Bucknell,Pat,Niagara,Home,True,68,50,18,2022-23,MAAC
7929,2014-12-23,N,Hofstra,CAA,La Salle,Home,False,83,74,9,2014-15,A10
6783,2014-12-07,N,Little Rock,SB,Tulsa,Home,False,78,73,5,2014-15,Amer
